"reference","tax","description","KO","Subject","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"k87_537946_9","COG0842@1|root,COG0842@2|Bacteria","Transport permease protein","ko:K01992","PGPT0006730_11853",92.3,259,20,0,1,777,22,280,2.2e-128,463.4,40,26,16,10,23,24,17,26,12,16,14,10,10,8,14,4,16,4,10,16,24,18,15,8
"k87_538446_3","COG1838@1|root,COG1951@1|root,COG1838@2|Bacteria,COG1951@2|Bacteria,2GK6D@201174|Actinobacteria,4DP6G@85009|Propionibacteriales","Catalyzes the reversible hydration of fumarate to (S)- malate","ko:K01676,ko:K01678,ko:K03780","PGPT0001635_151",93.9,99,6,0,1,297,458,556,1.9e-48,196.4,42,42,42,43,54,36,55,48,38,55,51,43,35,37,43,33,33,35,45,40,49,51,42,42
"k87_539307_2","COG1702@1|root,COG1702@2|Bacteria,1MVDV@1224|Proteobacteria,1RP2Y@1236|Gammaproteobacteria,1X38H@135614|Xanthomonadales","Phosphate starvation-inducible protein PhoH","ko:K06217","PGPT0002700_2534",91.9,136,11,0,1,408,189,324,1.6e-64,250.4,33,22,8,28,24,26,20,14,22,37,14,14,26,18,23,24,32,23,46,30,32,38,42,37
"k87_539524_2","COG0669@1|root,COG0669@2|Bacteria,1RD9F@1224|Proteobacteria,2VMQQ@28216|Betaproteobacteria,4ABJ9@80864|Comamonadaceae","Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate","ko:K00954","PGPT0008825_853",96.9,65,2,0,1,195,103,167,9.5e-28,127.1,12,11,8,4,12,10,14,19,17,4,9,7,10,16,8,15,7,6,14,10,22,10,16,11
"k87_539945_2","COG2309@1|root,COG2309@2|Bacteria,1MW2Y@1224|Proteobacteria,2TSGB@28211|Alphaproteobacteria,43I54@69277|Phyllobacteriaceae","Leucyl aminopeptidase (Aminopeptidase T)","ko:K19689","PGPT0020940_281",96.4,140,5,0,1,420,1,140,1.8e-68,263.5,8,8,6,4,8,4,8,0,8,2,4,1,4,6,6,4,3,6,4,2,8,18,6,8
"k87_540082_4","COG0137@1|root,COG0137@2|Bacteria,1MV0Y@1224|Proteobacteria,2TTGS@28211|Alphaproteobacteria,3N68V@45401|Hyphomicrobiaceae","Belongs to the argininosuccinate synthase family. Type 1 subfamily","ko:K01940","PGPT0020130_1518",93.4,411,26,1,136,1368,1,410,3.2e-223,779.2,112,118,94,88,134,124,127,108,118,120,147,104,108,103,98,103,78,58,121,109,132,105,117,98
"k87_540343_1","COG0573@1|root,COG0573@2|Bacteria,1MVKP@1224|Proteobacteria,1RQXJ@1236|Gammaproteobacteria,1X33D@135614|Xanthomonadales","probably responsible for the translocation of the substrate across the membrane","ko:K02037","PGPT0002620_2557",99,313,3,0,1,939,1,313,2.2e-167,593.2,77,66,41,40,68,50,49,53,48,47,42,60,48,36,64,28,64,305,86,77,79,75,84,62
"k87_540343_2","COG0226@1|root,COG0226@2|Bacteria,1MUAZ@1224|Proteobacteria,1RN5Q@1236|Gammaproteobacteria,1X3FS@135614|Xanthomonadales","Part of the ABC transporter complex PstSACB involved in phosphate import","ko:K02040","PGPT0002625_1967",91.1,361,32,0,1,1083,1,361,3e-184,649.4,58,56,43,48,76,70,43,76,49,69,69,46,45,49,40,39,65,346,84,78,70,67,78,68
"k87_540460_1","COG1143@1|root,COG1143@2|Bacteria,3J0N0@40117|Nitrospirae","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient","ko:K00338","PGPT0026830_990",91.2,159,14,0,37,513,3,161,4e-86,322.4,8,4,6,2,0,2,8,0,2,12,4,3,2,0,10,5,6,4,8,2,0,10,2,8
"k87_540460_2","COG1005@1|root,COG1005@2|Bacteria,3J0E2@40117|Nitrospirae","NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone","ko:K00337","PGPT0026825_1220",91.7,156,13,0,1,468,200,355,1.1e-77,294.3,4,2,6,6,16,5,11,2,4,6,8,7,8,6,4,7,2,0,2,4,8,4,6,10
"k87_540485_2","COG0448@1|root,COG0448@2|Bacteria,1MVTC@1224|Proteobacteria,2TR6D@28211|Alphaproteobacteria,2K0QP@204457|Sphingomonadales","Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans","ko:K00975","PGPT0025885_2010",93.3,60,4,0,19,198,8,67,4.5e-23,111.7,0,2,4,2,10,4,4,8,4,6,6,2,4,10,2,6,4,0,6,6,6,4,2,2
"k87_540825_1","COG0542@1|root,COG0542@2|Bacteria,2GJ73@201174|Actinobacteria,4DT4T@85009|Propionibacteriales","C-terminal, D2-small domain, of ClpB protein","ko:K03695,ko:K03696","PGPT0014580_1001",92,426,34,0,1,1278,1,426,1e-215,754.2,91,99,82,67,150,163,137,142,85,116,105,87,90,82,135,123,92,61,102,101,125,106,102,118
"k87_541191_1","COG0036@1|root,COG0036@2|Bacteria,1MUZM@1224|Proteobacteria,2TQKR@28211|Alphaproteobacteria,2K1ZB@204457|Sphingomonadales","Belongs to the ribulose-phosphate 3-epimerase family","ko:K01783","PGPT0017425_3949",93.8,130,8,0,1,390,1,130,2.3e-65,253.1,31,46,19,14,47,27,51,25,24,42,43,30,34,24,28,28,25,18,26,20,17,20,18,29
"k87_542099_1","COG0057@1|root,COG0057@2|Bacteria,1MU93@1224|Proteobacteria,2TR6E@28211|Alphaproteobacteria","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family","ko:K00134","PGPT0018000_4883",90.1,121,12,0,1,363,215,335,6.2e-57,224.9,22,12,29,18,22,24,25,18,15,34,22,14,17,15,22,18,17,15,21,16,28,27,12,24
"k87_542894_2","COG0183@1|root,COG0183@2|Bacteria,2GIY0@201174|Actinobacteria,233EV@1762|Mycobacteriaceae","Belongs to the thiolase family","-","PGPT0008320_13927",92.6,380,28,0,1,1140,1,380,2.5e-205,719.5,50,56,31,43,61,59,72,84,53,43,45,60,66,52,44,47,46,50,55,62,50,34,61,72
"k87_543535_1","COG4166@1|root,COG4166@2|Bacteria,1P91R@1224|Proteobacteria,2TT6P@28211|Alphaproteobacteria,43HMD@69277|Phyllobacteriaceae","ABC-type oligopeptide transport system periplasmic component","ko:K02035,ko:K15580","PGPT0021015_4728",96.4,360,13,0,1,1080,1,360,2.3e-200,703,24,14,23,18,30,30,22,18,22,20,16,22,22,12,18,24,21,49,36,20,28,34,28,23
"k87_543579_1","COG0035@1|root,COG0035@2|Bacteria,1MV4N@1224|Proteobacteria,2TRS7@28211|Alphaproteobacteria,2JQ2M@204441|Rhodospirillales","Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate","ko:K00761","PGPT0021240_2772",90,40,4,0,1,120,170,209,6.7e-16,87,4,2,2,2,6,8,8,6,3,2,6,9,5,9,8,8,1,4,2,2,5,8,4,6
"k87_544590_1","COG1116@1|root,COG1116@2|Bacteria,1MUDV@1224|Proteobacteria,2TUIC@28211|Alphaproteobacteria,43J8C@69277|Phyllobacteriaceae","ABC transporter","ko:K02049,ko:K15578","PGPT0000575_776",100,129,0,0,1,387,137,265,5.5e-64,248.4,12,18,19,16,14,24,20,11,12,28,20,15,19,21,18,14,13,19,20,16,18,32,22,22
"k87_544590_2","COG1251@1|root,COG1251@2|Bacteria,1MW58@1224|Proteobacteria,2TS8I@28211|Alphaproteobacteria,43HNG@69277|Phyllobacteriaceae","Belongs to the nitrite and sulfite reductase 4Fe-4S domain family","ko:K00362","PGPT0000450_1899",95,219,11,0,1,657,1,219,4.4e-114,415.6,51,26,29,23,33,49,41,42,24,62,41,27,33,40,35,41,59,38,24,53,51,36,46,45
"k87_544924_2","COG0693@1|root,COG0693@2|Bacteria,1MY0C@1224|Proteobacteria,2TU62@28211|Alphaproteobacteria,43K7S@69277|Phyllobacteriaceae","Intracellular protease, PfpI family","ko:K05520","PGPT0015010_343",98.1,154,3,0,1,462,1,154,6.8e-85,318.2,14,17,16,20,26,24,17,17,16,19,29,11,17,23,17,14,18,22,22,19,16,25,29,22
"k87_545276_1","COG0518@1|root,COG0519@1|root,COG0518@2|Bacteria,COG0519@2|Bacteria,1MU2A@1224|Proteobacteria,2TRN0@28211|Alphaproteobacteria,2JZZK@204457|Sphingomonadales","Catalyzes the synthesis of GMP from XMP","ko:K01951","PGPT0021580_3396",90.3,349,30,1,1,1047,173,517,5.8e-185,651.7,97,63,82,55,117,73,79,85,79,99,73,78,81,69,81,79,65,77,85,83,89,70,87,91
"k87_545405_1","COG3328@1|root,COG3328@2|Bacteria,1MU4P@1224|Proteobacteria,2TTBD@28211|Alphaproteobacteria,3K6A2@41294|Bradyrhizobiaceae","MULE transposase domain","-","PGPT0030665_614",90.6,382,36,0,1,1146,1,382,1.4e-192,677.2,34,31,9,34,50,42,46,44,35,35,36,20,26,11,36,27,38,18,42,37,26,26,36,35
"k87_548090_1","COG0181@1|root,COG0181@2|Bacteria,1MU56@1224|Proteobacteria,2VHT4@28216|Betaproteobacteria,4ABY8@80864|Comamonadaceae","Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps","ko:K01749","PGPT0003660_2989",91.9,62,5,0,16,201,6,67,1.9e-23,112.8,9,2,9,3,6,10,0,12,24,9,8,7,0,7,2,12,3,0,14,10,6,3,12,6
"k87_548203_1","COG1132@1|root,COG1132@2|Bacteria,1MUBM@1224|Proteobacteria,2TQMR@28211|Alphaproteobacteria,43HRF@69277|Phyllobacteriaceae","ABC-type multidrug transport system ATPase and permease","ko:K06147,ko:K18893","PGPT0029145_656",98.3,288,5,0,1,864,1,288,1.5e-157,560.5,3,2,8,9,2,4,14,6,8,4,2,12,10,8,6,10,10,8,10,4,6,8,6,8
"k87_548296_4","COG0024@1|root,COG0024@2|Bacteria,2GKIZ@201174|Actinobacteria,234IJ@1762|Mycobacteriaceae","Methionine aminopeptidase","ko:K01265","PGPT0020010_2217",92.4,119,9,0,1,357,10,128,1.7e-59,233.4,2,10,11,12,12,20,14,19,11,16,8,10,10,7,10,6,14,10,23,14,13,5,10,11
"k87_548516_2","COG1024@1|root,COG1024@2|Bacteria,1MX21@1224|Proteobacteria,2TV87@28211|Alphaproteobacteria,3JWEK@41294|Bradyrhizobiaceae","Enoyl-CoA hydratase/isomerase","ko:K16880","PGPT0006640_5",94,267,16,0,4,804,6,272,5.6e-143,511.9,24,22,29,25,36,32,38,32,20,24,32,35,22,43,35,30,25,22,24,28,16,28,28,31
"k87_548791_1","COG1702@1|root,COG1702@2|Bacteria,1PNF2@1224|Proteobacteria,2U3EV@28211|Alphaproteobacteria,1JRQ5@119045|Methylobacteriaceae","PFAM PhoH family protein","ko:K06217","PGPT0002700_4438",99.3,136,1,0,112,519,1,136,1.5e-72,277.3,8,8,12,10,4,11,16,12,8,8,4,13,10,4,2,15,12,5,15,13,2,16,17,6
"k87_548791_2","COG0524@1|root,COG0524@2|Bacteria,1MV5B@1224|Proteobacteria,2TSUM@28211|Alphaproteobacteria","Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway","ko:K00852","PGPT0017405_1557",95.3,149,7,0,1,447,1,149,4.5e-70,268.9,9,13,8,18,18,23,22,20,14,19,12,14,13,18,26,21,15,12,14,22,12,14,8,8
"k87_548860_2","COG0395@1|root,COG0395@2|Bacteria,1P54M@1224|Proteobacteria,2U4N3@28211|Alphaproteobacteria","Sugar ABC transporter permease","ko:K02026","PGPT0016540_9174",91.1,270,24,0,49,858,1,270,3.3e-133,479.6,41,22,14,20,47,34,26,40,30,28,24,23,22,18,14,26,14,24,44,20,17,26,14,34
"k87_549125_2","COG3547@1|root,COG3547@2|Bacteria,1MUER@1224|Proteobacteria,2TSGZ@28211|Alphaproteobacteria,3JUDN@41294|Bradyrhizobiaceae","IS116 IS110 IS902 family","-","PGPT0030635_2406",93.2,44,3,0,1,132,311,354,1.3e-15,86.3,8,2,4,5,2,2,2,0,2,6,2,2,0,0,2,2,2,3,2,0,4,7,2,2
"k87_549280_1","COG1023@1|root,COG1023@2|Bacteria,1QU14@1224|Proteobacteria,1T1KM@1236|Gammaproteobacteria,1X4EG@135614|Xanthomonadales","6-phosphogluconate dehydrogenase","ko:K00033","PGPT0017385_4286",97,299,9,0,1,897,1,299,2.9e-164,582.8,37,58,30,28,48,46,50,44,26,52,42,34,33,42,33,37,39,287,56,40,60,45,57,54
"k87_549280_6","COG0317@1|root,COG0317@2|Bacteria,1RGUA@1224|Proteobacteria,1S3WT@1236|Gammaproteobacteria,1XAHX@135614|Xanthomonadales","HD domain","ko:K01139","PGPT0014310_4895",96.6,177,6,0,22,552,1,177,4.4e-91,339,44,36,20,27,48,29,30,38,35,41,35,47,41,30,24,34,31,230,34,40,35,31,36,42
"k87_549280_13","COG0846@1|root,COG0846@2|Bacteria,1MUK1@1224|Proteobacteria,1RMX5@1236|Gammaproteobacteria,1X6B2@135614|Xanthomonadales","NAD-dependent lysine deacetylase and desuccinylase that specifically removes acetyl and succinyl groups on target proteins. Modulates the activities of several proteins which are inactive in their acylated form","ko:K12410","PGPT0013485_3346",97.3,226,6,0,1,678,1,226,1.3e-124,450.7,30,26,22,23,50,30,36,32,29,36,28,18,32,23,36,38,22,263,26,32,32,32,38,38
"k87_549280_22","COG0625@1|root,COG0625@2|Bacteria,1R401@1224|Proteobacteria,1SK93@1236|Gammaproteobacteria,1XA4S@135614|Xanthomonadales","Glutathione S-transferase, C-terminal domain","ko:K00799","PGPT0013170_4235",95.7,234,10,0,1,702,1,234,1.9e-126,456.8,20,28,16,20,32,32,40,22,24,19,24,18,30,26,16,22,19,278,10,30,20,32,35,16
"k87_549280_38","COG2367@1|root,COG2367@2|Bacteria,1NMW4@1224|Proteobacteria,1RWGW@1236|Gammaproteobacteria,1X55V@135614|Xanthomonadales","Beta-lactamase","ko:K17836","PGPT0028070_1711",97,298,9,0,1,894,1,298,3.7e-164,582.4,34,28,16,24,42,34,28,37,22,35,38,27,36,45,18,28,27,350,30,28,60,42,34,46
"k87_550784_1","COG1653@1|root,COG1653@2|Bacteria,1N8AS@1224|Proteobacteria,2U19M@28211|Alphaproteobacteria,4BB8A@82115|Rhizobiaceae","ABC transporter substrate-binding protein","ko:K02027","PGPT0016545_4544",96,349,14,0,1,1047,1,349,9e-202,707.6,20,20,15,4,23,19,6,20,6,37,13,18,23,14,26,11,18,14,25,18,16,19,18,21
"k87_551326_2","COG3118@1|root,COG3118@2|Bacteria,1MZBB@1224|Proteobacteria,2UCCR@28211|Alphaproteobacteria,43KHX@69277|Phyllobacteriaceae","Belongs to the thioredoxin family","ko:K03671","PGPT0013055_8026",97.2,107,3,0,1,321,1,107,5.6e-54,214.9,0,2,1,7,6,5,8,6,5,4,2,2,10,8,9,4,11,5,6,14,12,12,14,8
"k87_551326_3","COG0285@1|root,COG0285@2|Bacteria,1MVCH@1224|Proteobacteria,2TR64@28211|Alphaproteobacteria,43IEM@69277|Phyllobacteriaceae","Belongs to the folylpolyglutamate synthase family","ko:K11754","PGPT0007975_1410",93,442,31,0,1,1326,1,442,8.9e-239,830.9,18,18,12,18,24,21,22,24,24,20,18,18,16,28,20,18,18,32,24,32,30,32,28,23
"k87_551326_4","COG0777@1|root,COG0777@2|Bacteria,1MW8G@1224|Proteobacteria,2TRSH@28211|Alphaproteobacteria,43HA5@69277|Phyllobacteriaceae","Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA","ko:K01963","PGPT0001710_660",90.4,177,16,1,1,528,131,307,7.5e-80,301.6,10,6,8,2,10,8,11,8,8,8,8,7,15,2,10,4,10,11,18,10,2,4,18,12
"k87_551711_2","COG0366@1|root,COG0366@2|Bacteria,2GIV1@201174|Actinobacteria","trehalose synthase","ko:K05343","PGPT0014120_859",95.2,269,13,0,1,807,295,563,2.1e-153,546.6,56,54,35,55,63,56,62,89,40,47,37,50,38,42,30,45,44,69,56,69,88,84,63,78
"k87_551760_1","COG2224@1|root,COG2224@2|Bacteria,1MWIF@1224|Proteobacteria,2TU0Q@28211|Alphaproteobacteria,43IDD@69277|Phyllobacteriaceae","Isocitrate lyase","ko:K01637","PGPT0001550_2008",96.7,429,14,0,1,1287,1,429,1.2e-240,837,48,47,26,32,45,42,40,43,29,61,31,45,30,32,61,15,43,65,44,63,62,49,69,65
"k87_552078_1","COG0304@1|root,COG0304@2|Bacteria,1MV30@1224|Proteobacteria,2TRYK@28211|Alphaproteobacteria,43J1R@69277|Phyllobacteriaceae","Belongs to the beta-ketoacyl-ACP synthases family","ko:K14660","PGPT0015265_186",95,40,2,0,1,120,362,401,2.9e-14,81.6,6,0,2,8,4,6,8,9,5,4,0,2,4,0,6,4,8,4,12,2,2,2,4,1
"k87_552292_2","COG0745@1|root,COG0745@2|Bacteria,1MY5Y@1224|Proteobacteria,2VKQF@28216|Betaproteobacteria,4AC4R@80864|Comamonadaceae","response regulator, receiver","ko:K07774","PGPT0017365_945",97.8,182,4,0,1,546,1,182,2.9e-95,352.8,34,19,18,32,42,26,34,18,30,30,22,21,36,22,16,24,29,22,25,28,32,34,27,30
"k87_552509_2","COG1522@1|root,COG1522@2|Bacteria,1RH5M@1224|Proteobacteria,2UAXN@28211|Alphaproteobacteria","transcriptional regulator","ko:K15782","PGPT0014049_243",96.8,157,5,0,1,471,1,157,2.5e-79,299.7,10,12,8,6,0,2,6,4,8,2,6,0,6,4,2,8,2,4,6,0,4,4,10,2
"k87_552517_1","COG0468@1|root,COG0468@2|Bacteria,1MU3C@1224|Proteobacteria,2TRPR@28211|Alphaproteobacteria,1JS1H@119045|Methylobacteriaceae","Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage","ko:K03553","PGPT0007235_1202",96.7,211,7,0,1,633,1,211,1.1e-104,384.4,29,45,54,46,87,38,49,48,37,52,38,34,21,46,46,55,27,34,70,57,50,39,42,54
"k87_552757_1","COG0057@1|root,COG0057@2|Bacteria,1MU93@1224|Proteobacteria,2TR6E@28211|Alphaproteobacteria,3JSED@41294|Bradyrhizobiaceae","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family","ko:K00134","PGPT0018000_4766",92.8,69,5,0,1,207,267,335,2.6e-31,139,14,12,6,10,16,10,11,18,8,14,14,4,17,10,9,15,2,15,8,11,25,16,16,15
"k87_553004_1","COG0454@1|root,COG0456@2|Bacteria,1VAD7@1239|Firmicutes,4HKR2@91061|Bacilli,1ZHDK@1386|Bacillus","COG0454 Histone acetyltransferase HPA2 and related acetyltransferases","ko:K02859","PGPT0008530_61",100,106,0,0,1,318,19,124,3e-55,219.2,4,0,2,2,8,2,4,4,2,2,2,6,0,4,4,0,0,0,0,0,4,8,0,2
"k87_553641_1","COG0437@1|root,COG0437@2|Bacteria,1MU5T@1224|Proteobacteria,2VEY7@28211|Alphaproteobacteria,2JQR6@204441|Rhodospirillales","4Fe-4S dicluster domain","-","PGPT0019665_2217",90.1,111,11,0,1,333,88,198,1.5e-57,226.9,11,11,16,16,34,8,12,15,12,14,9,16,10,9,13,10,7,3,12,8,18,12,16,21
"k87_553779_2","COG4585@1|root,COG4585@2|Bacteria,2HDZV@201174|Actinobacteria","Histidine kinase","ko:K07675","PGPT0017175_984",90.5,325,31,0,1,975,1,325,1.8e-148,530.4,60,49,34,31,48,52,52,52,31,50,41,37,44,28,38,32,38,26,62,42,50,37,38,36
"k87_554642_1","COG0473@1|root,COG0473@2|Bacteria,1MUH4@1224|Proteobacteria,2TSBB@28211|Alphaproteobacteria,4B886@82115|Rhizobiaceae","Tartrate dehydrogenase","ko:K07246","PGPT0001905_1356",90.5,337,32,0,13,1023,1,337,9.1e-175,617.8,26,26,18,8,22,8,23,28,24,18,12,10,18,20,31,22,25,26,32,36,19,30,29,27
"k87_555121_2","COG3254@1|root,COG3254@2|Bacteria,1RGYV@1224|Proteobacteria,2U9B8@28211|Alphaproteobacteria,4BEXA@82115|Rhizobiaceae","Involved in the anomeric conversion of L-rhamnose","ko:K03534","PGPT0017795_1065",90.4,104,10,0,1,312,1,104,6.3e-50,201.4,4,6,2,4,4,2,2,3,1,6,5,2,4,6,2,8,6,4,8,2,12,4,4,7
"k87_555121_5","COG1129@1|root,COG1129@2|Bacteria,1MU22@1224|Proteobacteria,2TQJV@28211|Alphaproteobacteria,4B7TI@82115|Rhizobiaceae","Part of the ABC transporter complex RbsABC involved in ribose import. Responsible for energy coupling to the transport system","ko:K10562,ko:K17215","PGPT0016705_454",94.9,118,6,0,1,354,381,498,1.4e-53,213.8,10,12,8,7,10,10,16,2,8,16,9,6,9,12,17,10,16,12,12,7,21,14,10,14
"k87_555165_1","COG0236@1|root,COG0236@2|Bacteria,1VFQI@1239|Firmicutes,4HNIH@91061|Bacilli,1ZJEB@1386|Bacillus","Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC-carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall","ko:K14188","PGPT0020060_325",98.7,78,1,0,1,234,1,78,1.7e-36,156.4,4,0,0,0,8,4,0,8,2,2,0,0,0,0,0,1,0,0,0,2,0,0,2,0
"k87_555165_2","COG1696@1|root,COG1696@2|Bacteria,1TP52@1239|Firmicutes,4HBQG@91061|Bacilli,1ZCX1@1386|Bacillus","membrane protein involved in D-alanine export","ko:K03739","PGPT0023380_296",99.7,395,0,1,1,1182,1,395,9.7e-229,797.3,0,2,6,6,24,10,9,10,4,16,12,2,12,10,18,10,2,0,6,6,4,2,7,4
"k87_555924_1","COG0477@1|root,COG0477@2|Bacteria,1RGPN@1224|Proteobacteria,2TQKW@28211|Alphaproteobacteria,43NE5@69277|Phyllobacteriaceae","TIGRFAM drug resistance transporter, EmrB QacA subfamily","ko:K03446","PGPT0029220_873",91.4,397,34,0,1,1191,126,522,3.7e-204,715.7,18,18,12,6,12,12,14,18,2,24,18,10,12,12,24,12,19,19,8,13,14,32,26,29
"k87_557482_1","COG1960@1|root,COG1960@2|Bacteria,1MUDR@1224|Proteobacteria,2TR15@28211|Alphaproteobacteria,43I97@69277|Phyllobacteriaceae","acyl-CoA dehydrogenase","ko:K00249","PGPT0008385_5651",96.2,320,12,0,1,960,27,346,4.9e-178,628.6,12,15,14,18,26,2,8,10,10,9,6,9,20,18,10,17,16,23,22,16,25,22,20,28
"k87_558982_1","COG0395@1|root,COG0395@2|Bacteria,1N4I0@1224|Proteobacteria,2U0UX@28211|Alphaproteobacteria,3JWP8@41294|Bradyrhizobiaceae","Binding-protein-dependent transport system inner membrane component","ko:K02026","PGPT0016540_4873",95.5,220,10,0,1,660,1,220,2.9e-121,439.5,36,35,39,30,49,36,57,40,50,27,37,29,24,24,41,33,25,26,18,33,36,40,36,41
"k87_558982_2","COG1175@1|root,COG1175@2|Bacteria,1MWB7@1224|Proteobacteria,2TZRR@28211|Alphaproteobacteria,3JTDV@41294|Bradyrhizobiaceae","Binding-protein-dependent transport system inner membrane component","ko:K02025","PGPT0016535_3792",93.4,182,12,0,1,546,130,311,1e-92,344.4,5,18,16,38,39,34,24,33,14,25,17,29,18,18,24,21,14,18,26,32,34,32,20,24
"k87_559367_3","COG0549@1|root,COG0549@2|Bacteria,2HWQ6@201174|Actinobacteria,4DPEI@85009|Propionibacteriales","Belongs to the carbamate kinase family","ko:K00926","PGPT0020085_833",93.3,90,6,0,7,276,2,91,4.4e-39,165.2,17,24,14,11,43,28,22,32,23,23,17,17,26,16,29,14,11,24,14,33,14,28,24,25
"k87_560346_1","COG0254@1|root,COG0254@2|Bacteria,1VEGU@1239|Firmicutes,4HNQF@91061|Bacilli,1ZQBD@1386|Bacillus","Binds the 23S rRNA","ko:K02909","PGPT0014325_1153",97.1,69,2,0,1,207,18,86,2.5e-34,149.1,2,2,0,2,1,2,1,2,2,0,0,0,0,2,2,2,0,2,2,2,2,6,2,2
"k87_560346_2","COG1435@1|root,COG1435@2|Bacteria,1TRVM@1239|Firmicutes,4HA4A@91061|Bacilli,1ZBMX@1386|Bacillus","thymidine kinase","ko:K00857","PGPT0021390_2034",99.4,180,1,0,1,540,1,180,9.9e-96,354.4,0,0,0,0,23,4,2,8,2,0,2,6,4,6,2,0,2,2,4,8,4,0,2,2
"k87_560838_2","COG0477@1|root,COG2814@2|Bacteria,1MVZI@1224|Proteobacteria,1RPBT@1236|Gammaproteobacteria,1X5ZT@135614|Xanthomonadales","Nucleoside H+ symporter","ko:K05820","PGPT0028051_747",98.5,389,6,0,298,1464,1,389,3.8e-222,775.8,58,45,27,42,54,63,34,56,54,42,52,35,62,50,42,52,44,1085,55,54,56,54,53,74
"k87_560839_1","COG1252@1|root,COG1252@2|Bacteria,1MX96@1224|Proteobacteria,1RM9I@1236|Gammaproteobacteria,1X3HK@135614|Xanthomonadales","NADH dehydrogenase, FAD-containing subunit","ko:K03885","PGPT0004020_3465",96.4,422,15,0,1,1266,1,422,2.2e-231,806.2,76,84,74,54,104,84,89,102,69,89,82,64,57,62,82,76,61,442,82,94,83,110,106,65
"k87_560839_2","COG0176@1|root,COG0176@2|Bacteria,1MWQ8@1224|Proteobacteria,1RMS0@1236|Gammaproteobacteria,1X3U4@135614|Xanthomonadales","Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway","ko:K00616","PGPT0017375_3226",97.5,316,8,0,1,948,1,316,2.2e-167,593.2,79,58,47,63,104,75,78,70,51,85,67,70,57,61,62,84,73,301,108,86,76,56,89,69
"k87_563500_2","COG0569@1|root,COG0569@2|Bacteria,2IA09@201174|Actinobacteria,4FKW0@85023|Microbacteriaceae","TrkA-N domain","ko:K03499","PGPT0002710_3710",92.9,98,7,0,1,294,1,98,9.1e-43,177.6,14,6,10,10,17,18,12,16,9,12,8,7,10,4,6,6,0,6,8,17,8,18,24,8
