reference	Subject	percent	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
k87_902557_2	PGPT0021510_190	91	199	16	1	1	597	1	197	2.70E-102	376.3
k87_903658_2	PGPT0020765_13158	94.1	152	9	0	1	456	222	373	1.10E-79	300.8
k87_903794_1	PGPT0021570_983	90.1	71	7	0	25	237	5	75	4.30E-27	125.2
k87_904452_4	PGPT0007775_1579	91.4	35	3	0	1	105	284	318	7.50E-11	70.1
k87_904611_1	PGPT0021145_2314	99.1	328	3	0	1	984	1	328	3.70E-181	639
k87_905039_1	PGPT0004450_1832	92.4	66	5	0	1	198	319	384	1.40E-27	126.7
k87_905153_4	PGPT0020000_299	97.4	155	4	0	1	465	1	155	3.70E-67	259.2
k87_905688_1	PGPT0017615_2229	96.6	117	4	0	1	351	1	117	4.10E-58	228.8
k87_905688_2	PGPT0021015_4645	90.4	532	51	0	1	1596	1	532	5.20E-286	988
k87_905688_3	PGPT0021020_1511	90.8	98	9	0	1	294	1	98	5.10E-46	188.3
k87_906341_1	PGPT0003010_1478	93	213	15	0	1	639	1	213	2.70E-100	369.8
k87_906352_1	PGPT0001385_2968	93	129	9	0	1	387	1	129	2.60E-66	256.1
k87_906543_2	PGPT0008880_1411	94.2	311	18	0	1	933	146	456	1.80E-172	610.1
k87_907272_2	PGPT0027695_369	97.9	48	1	0	1	144	1	48	1.70E-18	95.9
k87_908937_1	PGPT0008385_3669	92.1	253	20	0	1	759	1	253	9.90E-134	481.1
k87_909951_1	PGPT0018070_270	94.9	39	2	0	10	126	10	48	1.50E-10	69.3
k87_910827_2	PGPT0008770_211	96	321	13	0	7	969	9	329	1.90E-174	616.7
k87_911127_1	PGPT0021995_1631	95.7	141	6	0	1	423	1	141	1.10E-68	264.2
k87_911727_1	PGPT0000180_388	91.9	161	13	0	1	483	1	161	7.30E-74	281.6
k87_911727_2	PGPT0000175_198	93.1	174	12	0	1	522	47	220	1.40E-75	287.3
k87_912427_1	PGPT0007990_1867	91	366	33	0	61	1158	1	366	1.30E-190	670.6
k87_912720_1	PGPT0001380_264	98.3	232	4	0	1	696	375	606	4.40E-128	462.2
k87_912720_3	PGPT0001685_166	99.2	119	1	0	13	369	1	119	5.10E-59	231.9
k87_912798_1	PGPT0018213_1115	91.7	254	21	0	1	762	1	254	7.70E-126	454.9
k87_912798_2	PGPT0021560_2641	97.7	43	1	0	1	129	1	43	7.80E-15	83.6
k87_912804_2	PGPT0017620_742	93.1	260	18	0	1	780	21	280	2.80E-139	499.6
k87_912951_4	PGPT0014455_482	93.1	231	16	0	1	693	1	231	4.10E-118	429.1
k87_913102_1	PGPT0007840_205	92.2	153	12	0	1	459	1	153	2.80E-75	286.2
k87_913454_2	PGPT0017625_1049	90.7	323	29	1	1	966	1	323	5.30E-164	582
k87_913870_2	PGPT0001685_1163	97.1	245	7	0	1	735	1	245	2.90E-130	469.5
k87_914178_1	PGPT0009385_229	93.3	30	2	0	1	90	292	321	4.90E-11	70.5
k87_914243_1	PGPT0017540_631	97.9	326	7	0	37	1014	1	326	7.40E-185	651.4
k87_914279_3	PGPT0021580_3008	95.4	282	13	0	1	846	239	520	4.60E-156	555.4
k87_914382_1	PGPT0025530_3592	91.7	60	5	0	1	180	155	214	1.20E-24	116.7
k87_914768_3	PGPT0014580_1001	90.2	61	6	0	1	183	1	61	2.50E-22	109
k87_914861_1	PGPT0024200_445	90.9	440	39	1	1	1320	122	560	1.10E-213	747.7
k87_915154_1	PGPT0023720_1990	91.3	69	6	0	1	207	541	609	4.50E-28	128.3
k87_915837_2	PGPT0026360_6167	90	50	5	0	1	150	1	50	1.70E-16	89.4
k87_916249_2	PGPT0000685_173	90.5	275	26	0	1	825	1	275	4.70E-137	492.3
k87_916922_1	PGPT0007860_2281	93.2	353	24	0	73	1131	3	355	1.00E-182	644.4
k87_916922_2	PGPT0007850_745	90.5	221	21	0	1	663	1	221	6.50E-105	385.2
k87_917598_2	PGPT0017635_1491	93.9	212	13	0	1	636	1	212	4.20E-107	392.5
k87_917632_2	PGPT0018245_107	90.4	136	13	0	1	408	147	282	7.10E-70	268.1
k87_918304_1	PGPT0020770_9523	99.2	244	2	0	1	732	41	284	4.80E-125	452.2
k87_918304_2	PGPT0020775_5127	100	152	0	0	1	456	6	157	9.00E-74	281.2
k87_918384_2	PGPT0014625_938	92.6	121	9	0	1	363	2	122	1.20E-55	220.7
k87_918384_3	PGPT0014545_1051	97.8	184	4	0	1	552	210	393	3.80E-90	335.9
k87_918428_3	PGPT0003020_1566	90.9	176	16	0	1	528	1	176	1.40E-72	278.1
k87_919400_1	PGPT0007845_2167	93.7	271	13	1	22	822	1	271	1.30E-134	484.2
k87_919400_2	PGPT0007650_197	94.2	278	16	0	1	834	1	278	2.70E-148	529.6
k87_919510_2	PGPT0013735_948	91.7	264	22	0	1	792	1	264	9.50E-135	484.6
k87_920090_2	PGPT0000455_1421	90	110	11	0	1	330	1	110	4.40E-54	215.3
k87_920090_3	PGPT0000450_1837	92.5	133	10	0	1	399	685	817	6.10E-66	255
k87_920653_1	PGPT0001380_5363	94.4	468	26	0	1	1404	1	468	1.40E-253	880.2
k87_920790_1	PGPT0014595_8054	94.8	97	5	0	1	291	7	103	1.50E-45	186.8
k87_920864_1	PGPT0007005_5341	93.8	113	7	0	1	339	231	343	8.30E-56	221.1
k87_921037_4	PGPT0014302_3257	90.2	61	6	0	19	201	1	61	4.40E-20	101.7
k87_921342_1	PGPT0002295_1736	94.7	152	8	0	1	456	351	502	3.70E-83	312.4
k87_921886_1	PGPT0012850_1866	96.3	81	3	0	1	243	357	437	1.90E-38	162.9
k87_921886_2	PGPT0009020_2459	92.5	279	21	0	1	837	1	279	2.80E-135	486.5
k87_923387_1	PGPT0001905_422	92.4	105	8	0	1	315	251	355	2.30E-48	196.4
k87_923963_2	PGPT0015075_2267	100	228	0	0	1	684	1	228	2.90E-124	449.5
k87_924169_2	PGPT0020250_879	91.1	45	4	0	1	135	520	564	1.50E-15	86.3
k87_924686_4	PGPT0021215_3865	97.9	48	1	0	1	144	1	48	3.80E-18	94.7
k87_924708_2	PGPT0020785_1164	91.1	257	23	0	25	795	6	262	1.30E-128	464.2
k87_925332_2	PGPT0001860_6042	96.5	257	9	0	1	771	1	257	7.00E-135	485
k87_927860_1	PGPT0001455_2203	90.8	120	11	0	1	360	313	432	2.00E-60	236.5
k87_928809_1	PGPT0008485_409	90.9	241	18	2	1	723	186	422	1.40E-124	450.7
k87_928973_4	PGPT0017350_2364	95.9	73	3	0	1	219	1	73	4.00E-19	98.6
k87_929540_2	PGPT0014040_2660	95.3	43	2	0	1	129	386	428	1.20E-13	79.7
k87_929919_1	PGPT0008485_1107	95.8	72	3	0	1	216	1	72	4.30E-34	148.3
k87_930123_3	PGPT0009795_1662	90.5	148	14	0	1	444	1	148	6.80E-66	255
k87_931559_2	PGPT0004645_2007	92.4	92	7	0	1	276	102	193	4.90E-46	188.3
k87_932102_2	PGPT0020040_2402	97.3	375	10	0	40	1164	1	375	1.10E-205	720.7
k87_932102_3	PGPT0014905_712	98.9	188	2	0	1	564	1	188	3.10E-100	369.4
k87_932247_5	PGPT0001390_1295	90.3	113	11	0	1	339	477	589	3.60E-51	205.7
k87_932270_1	PGPT0022235_222	94.2	361	21	0	19	1101	35	395	1.60E-177	627.1
k87_932507_1	PGPT0030485_3155	90.7	194	18	0	1	582	1	194	3.40E-94	349.4
k87_932604_1	PGPT0006800_950	92.3	363	28	0	1	1089	1	363	1.20E-185	654.1
k87_933021_1	PGPT0013490_1220	93.6	299	19	0	1	897	1	299	4.30E-160	568.9
k87_933075_1	PGPT0000350_900	93.2	148	10	0	1	444	1	148	1.10E-73	280.8
k87_933822_3	PGPT0001442_2158	92.9	70	5	0	1	210	402	471	4.70E-33	144.8
k87_933987_3	PGPT0002105_1	92.3	273	21	0	1	819	1	273	2.30E-144	516.5
k87_934299_1	PGPT0030635_1448	97.6	251	6	0	1	753	133	383	2.40E-132	476.5
k87_934403_2	PGPT0013345_4222	90.2	246	18	1	31	768	10	249	2.00E-118	430.3
k87_934422_3	PGPT0006730_10102	90.7	97	9	0	1	291	197	293	2.20E-44	183
k87_934626_1	PGPT0001160_161	90.8	238	22	0	1	714	88	325	2.80E-114	416.4
k87_934908_4	PGPT0009155_1743	93.7	143	9	0	1	429	1	143	7.70E-67	258.1
k87_934971_1	PGPT0008880_1411	91.8	183	15	0	1	549	286	468	6.40E-98	361.7
k87_935135_1	PGPT0006800_3994	98	255	5	0	1	765	66	320	5.70E-137	491.9
k87_935368_2	PGPT0013765_680	97	232	7	0	1	696	1	232	4.20E-123	445.7
k87_935688_2	PGPT0021040_3019	92.4	397	30	0	4	1194	109	505	6.00E-202	708.4
k87_936792_1	PGPT0003680_4370	93	43	3	0	1	129	380	422	1.60E-16	89.4
k87_936948_1	PGPT0008185_2583	90.4	322	31	0	28	993	5	326	1.10E-163	581.3
k87_937882_6	PGPT0000175_19	100	49	0	0	1	147	182	230	2.00E-17	92.4
k87_937938_1	PGPT0008145_2226	93	43	3	0	4	132	7	49	3.20E-16	88.2
k87_938417_1	PGPT0026360_1650	98	50	1	0	1	150	262	311	1.20E-19	99.8
k87_938417_2	PGPT0013320_488	98.9	276	3	0	1	828	452	727	3.60E-145	519.2
k87_938462_1	PGPT0000750_553	96.2	53	2	0	1	159	247	299	2.00E-23	112.5
k87_938462_2	PGPT0000760_65	94	252	14	1	1	753	1	252	6.80E-127	458.4
k87_938710_2	PGPT0001575_973	96.5	57	2	0	1	171	1	57	2.50E-24	115.5
k87_938815_6	PGPT0014830_1054	100	74	0	0	1	222	89	162	2.10E-31	139.4
k87_938894_1	PGPT0001540_1223	94.8	172	9	0	1	516	1	172	4.70E-87	325.5
k87_939219_3	PGPT0005030_191	90	180	18	0	1	540	33	212	6.60E-87	325.1
k87_940069_1	PGPT0008370_1931	97.7	87	2	0	1	261	177	263	1.80E-42	176.4
k87_940069_3	PGPT0020140_3493	93.6	265	17	0	1	795	165	429	9.40E-143	511.1
k87_940352_3	PGPT0005005_3139	97.7	128	3	0	1	384	1	128	2.30E-70	269.6
k87_940460_1	PGPT0024380_1435	98.8	243	3	0	1	729	1	243	5.40E-137	491.9
k87_940460_2	PGPT0023035_484	91.9	149	12	0	1	447	44	192	7.80E-78	294.7
k87_940469_1	PGPT0019665_431	90.8	229	21	0	1	687	1	229	2.10E-119	433.3
k87_940469_2	PGPT0019670_1800	93.6	157	10	0	1	471	1	157	8.80E-80	301.2
k87_940469_4	PGPT0000945_993	97.4	231	6	0	1	693	1	231	1.70E-124	450.3
k87_940469_5	PGPT0000940_1233	92.7	248	18	0	1	744	1	248	8.00E-128	461.5
k87_940469_6	PGPT0000935_310	92.5	387	26	2	1	1152	9	395	3.20E-200	702.6
k87_940543_1	PGPT0009155_3161	95.9	415	17	0	1	1245	1	415	7.60E-224	781.2
k87_941162_1	PGPT0018050_4811	100	78	0	0	1	234	1	78	4.20E-35	151.8
k87_941162_3	PGPT0028991_3488	99	101	1	0	1	303	289	389	8.20E-47	191
k87_941521_1	PGPT0018815_909	96.1	361	14	0	1	1083	31	391	1.40E-210	736.9
k87_942085_1	PGPT0015075_1684	93.8	48	3	0	1	144	170	217	1.90E-17	92.4
k87_942435_3	PGPT0015605_96	94.5	183	10	0	1	549	1	183	1.30E-95	354
k87_942791_1	PGPT0014090_1392	90.5	148	14	0	1	444	1	148	6.00E-70	268.5
k87_942791_2	PGPT0002025_2800	95.2	415	20	0	1	1245	1	415	6.00E-213	745
k87_943472_2	PGPT0026705_3127	95.7	69	3	0	1	207	1	69	4.60E-33	144.8
k87_943700_1	PGPT0014791_12	98.8	167	2	0	25	525	1	167	4.30E-84	315.8
k87_943700_2	PGPT0020305_5232	92.5	359	27	0	1	1077	1	359	2.80E-190	669.5
k87_943700_3	PGPT0026700_1366	96.2	80	3	0	1	240	13	92	2.30E-36	156
k87_944226_1	PGPT0007075_294	91	155	14	0	4	468	1	155	4.90E-75	285.4
k87_944343_1	PGPT0015405_2237	98.8	80	1	0	1	240	1	80	4.60E-37	158.3
k87_944343_2	PGPT0015370_340	98.5	265	4	0	1	795	29	293	2.20E-139	500
k87_945222_1	PGPT0001695_1621	90.8	261	24	0	1	783	59	319	4.80E-131	472.2
k87_945850_2	PGPT0002755_1882	90.2	305	30	0	1	915	1	305	1.50E-152	543.9
k87_945914_3	PGPT0001550_1512	91.5	47	4	0	4	144	388	434	5.20E-16	87.8
k87_946253_1	PGPT0006165_118	91.5	165	14	0	1	495	297	461	7.50E-82	308.1
k87_946500_3	PGPT0014960_2802	91.2	238	20	1	1	714	1	237	1.70E-114	417.2
k87_946589_2	PGPT0021560_1947	98.3	637	11	0	67	1977	1	637	0.00E+00	1224.2
k87_948319_1	PGPT0017405_3287	99.1	111	1	0	1	333	1	111	5.80E-54	214.9
k87_948319_2	PGPT0017395_2283	99.3	148	1	0	1	444	1	148	2.80E-80	302.8
k87_948319_3	PGPT0020800_10951	100	254	0	0	1	762	11	264	4.80E-136	488.8
k87_948557_1	PGPT0007845_1113	99	198	2	0	1	594	83	280	4.20E-95	352.4
k87_948557_2	PGPT0018275_507	97.8	135	3	0	1	405	1	135	3.50E-69	265.8
k87_948636_3	PGPT0012215_424	98.7	379	5	0	1	1137	26	404	2.70E-220	769.2
k87_949177_2	PGPT0001565_4985	92.4	381	29	0	1	1143	1	381	6.40E-201	704.9
k87_949291_2	PGPT0007680_1384	96.1	228	9	0	1	684	1	228	4.60E-122	442.2
k87_949628_3	PGPT0017350_2364	91.9	135	11	0	1	405	366	500	5.60E-59	231.9
k87_949906_1	PGPT0017425_644	92.8	222	16	0	1	666	13	234	7.20E-112	408.3
k87_950350_1	PGPT0020150_3778	92.9	70	5	0	1	210	535	604	5.20E-32	141.4
k87_950984_2	PGPT0004445_5485	92.7	110	8	0	1	330	219	328	1.00E-50	204.1
k87_951281_2	PGPT0001975_3157	99.7	301	1	0	286	1188	1	301	1.30E-169	600.9
k87_951343_1	PGPT0001265_289	92.5	333	25	0	1	999	48	380	3.90E-178	629
k87_951811_1	PGPT0014580_3262	90.9	197	18	0	1	591	1	197	2.80E-91	339.7
k87_951889_4	PGPT0021425_378	98	246	5	0	1	738	63	308	8.00E-128	461.5
k87_952611_3	PGPT0021355_2500	92.8	152	11	0	1	456	1	152	5.90E-73	278.5
k87_952812_1	PGPT0027700_2833	94.3	87	5	0	1	261	1	87	4.60E-38	161.8
k87_953054_2	PGPT0008385_2301	91.4	81	7	0	1	243	337	417	4.90E-34	148.3
k87_953365_3	PGPT0008520_2183	96.3	54	2	0	1	162	253	306	2.20E-22	109
k87_954231_2	PGPT0017980_559	98.3	239	4	0	1	717	1	239	2.70E-133	479.6
k87_954474_1	PGPT0001380_4263	91.1	79	7	0	1	237	1	79	4.60E-37	158.3
k87_955974_2	PGPT0008960_2167	97.1	274	8	0	1	822	364	637	1.10E-146	524.2
k87_958060_2	PGPT0001445_184	91.3	115	10	0	1	345	618	732	7.40E-55	218
k87_959294_2	PGPT0014310_3172	91.3	566	49	0	1	1698	158	723	5.40E-305	1051.2
k87_960241_2	PGPT0021160_1413	94.2	312	18	0	1	936	1	312	4.40E-160	568.9
k87_961354_3	PGPT0020250_2347	90.1	131	13	0	28	420	8	138	3.70E-66	255.8
k87_962125_1	PGPT0001170_403	90.9	164	15	0	1	492	1	164	4.80E-73	278.9
k87_962260_1	PGPT0007176_491	94	201	12	0	1	603	1	201	1.80E-104	383.6
k87_963625_4	PGPT0002675_121	91.7	229	17	1	1	681	5	233	5.20E-113	412.1
k87_963693_1	PGPT0027180_2679	92.9	85	6	0	1	255	100	184	1.10E-39	167.2
k87_963693_2	PGPT0027180_2903	97.6	41	1	0	1	123	43	83	6.90E-16	87
k87_963973_1	PGPT0011200_6342	91.9	270	22	0	1	810	1	270	8.10E-142	508.1
k87_964207_3	PGPT0008965_2279	95.7	257	11	0	1	771	1	257	9.10E-135	484.6
k87_964504_1	PGPT0006025_2173	98.6	146	2	0	1	438	221	366	3.50E-83	312.4
k87_964960_1	PGPT0021480_3271	98.9	189	2	0	1	567	131	319	1.60E-96	357.1
k87_965252_2	PGPT0001685_2110	95.4	284	12	1	1	852	1	283	2.80E-153	546.2
k87_965969_1	PGPT0008135_3056	91.1	45	4	0	1	135	1	45	1.30E-15	86.3
k87_966323_1	PGPT0004190_1041	99.4	172	1	0	1	516	1	172	1.30E-92	344
k87_967516_2	PGPT0014646_699	92.8	83	6	0	1	249	1	83	1.70E-34	149.8
k87_967644_1	PGPT0006800_93	90.5	137	13	0	1	411	1	137	3.00E-68	262.7
k87_967792_10	PGPT0013055_4948	90.3	103	10	0	25	333	12	114	2.70E-51	206.1
k87_967979_2	PGPT0026840_1991	94.8	97	5	0	1	291	4	100	2.50E-40	169.5
k87_968510_2	PGPT0009075_1679	90.9	493	44	1	1	1479	1	492	6.80E-264	914.4
k87_968856_1	PGPT0020070_971	100	90	0	0	1	270	1	90	3.70E-43	178.7
k87_968856_3	PGPT0014048_27	91.7	229	19	0	1	687	276	504	8.80E-113	411.4
k87_969038_2	PGPT0012900_720	99.5	210	1	0	1	630	1	210	4.50E-116	422.2
k87_969147_1	PGPT0017395_235	90.4	146	14	0	1	438	19	164	2.40E-71	273.1
k87_969356_2	PGPT0004430_13697	98.1	309	6	0	1	927	1	309	4.00E-177	625.5
k87_969819_1	PGPT0025740_2739	98.4	63	1	0	1	189	319	381	2.30E-26	122.5
k87_969819_3	PGPT0000650_981	97.3	112	3	0	1	336	1	112	4.80E-56	221.9
k87_970060_1	PGPT0007765_2255	94.4	126	7	0	1	378	1	126	1.60E-60	236.9
k87_971063_2	PGPT0018651_3	92.2	179	14	0	1	537	409	587	1.90E-94	350.1
k87_971207_1	PGPT0001320_1853	98.7	150	2	0	1	450	125	274	1.00E-80	304.3
k87_971609_2	PGPT0014770_306	94.7	360	19	0	4	1083	1	360	6.70E-184	648.3
k87_971998_1	PGPT0001875_4022	97.2	109	3	0	4	330	5	113	2.40E-55	219.5
k87_972076_2	PGPT0001320_1904	98.9	90	1	0	1	270	186	275	1.60E-46	189.9
k87_972156_1	PGPT0009180_680	95.8	118	5	0	1	354	188	305	1.20E-57	227.3
k87_972539_3	PGPT0026805_2181	97.3	73	2	0	13	231	4	76	8.40E-36	154.1
k87_972870_2	PGPT0014595_5141	92.2	204	16	0	1	612	1	204	3.30E-103	379.4
k87_972870_3	PGPT0014600_3008	99.4	166	1	0	1	498	1	166	1.60E-87	327
k87_973079_1	PGPT0014580_3707	91.4	222	19	0	1	666	638	859	2.40E-115	419.9
k87_973407_2	PGPT0016540_811	98.7	315	4	0	19	963	2	316	6.80E-172	608.2
k87_973491_4	PGPT0000505_525	91.7	84	7	0	1	252	159	242	6.90E-39	164.5
k87_973980_1	PGPT0008185_10992	97.9	517	11	0	1	1551	1	517	4.30E-285	984.9
k87_974187_1	PGPT0028991_527	95.2	62	3	0	58	243	17	78	7.80E-24	114.4
k87_974354_1	PGPT0006025_1413	92.6	108	8	0	1	324	303	410	2.80E-53	212.6
k87_974673_2	PGPT0014500_357	92.4	317	24	0	1	951	173	489	1.10E-161	574.3
k87_974746_3	PGPT0015490_2404	92	50	4	0	1	150	1	50	4.40E-17	91.3
k87_974782_1	PGPT0026785_567	91.4	140	3	1	1	420	63	193	6.50E-67	258.5
k87_975178_2	PGPT0004440_7505	99.4	329	2	0	1	987	1	329	3.80E-186	655.6
k87_975178_3	PGPT0004430_7842	96.6	176	6	0	1	528	1	176	1.30E-87	327.4
k87_975386_1	PGPT0021035_1833	90.5	190	18	0	7	576	2	191	9.30E-92	341.3
k87_975851_2	PGPT0000645_4041	98.5	203	3	0	1	609	1	203	1.60E-113	413.7
k87_976263_1	PGPT0013735_1741	94.1	101	6	0	1	303	138	238	1.10E-54	217.2
k87_976571_3	PGPT0001455_3316	90.7	86	8	0	1	258	343	428	3.70E-40	168.7
k87_976603_2	PGPT0002255_95	92.4	237	18	0	1	711	504	740	2.90E-111	406.4
k87_976608_1	PGPT0021205_2803	94.6	240	13	0	1	720	1	240	5.90E-120	435.3
k87_976750_1	PGPT0004770_769	96.8	126	4	0	1	378	78	203	1.80E-35	153.7
k87_976790_1	PGPT0008270_44	90.3	361	35	0	1	1083	1	361	4.30E-183	645.6
k87_976824_3	PGPT0021435_213	93.8	113	7	0	1	339	1	113	1.80E-55	219.9
k87_977157_1	PGPT0005385_1500	98.6	145	2	0	1	435	1	145	6.80E-63	245
k87_977157_2	PGPT0014925_852	100	196	0	0	1	588	1	196	1.20E-105	387.5
k87_977220_2	PGPT0026360_178	93.4	181	12	0	1	543	151	331	1.20E-96	357.5
k87_977233_1	PGPT0023624_1806	94.9	253	13	0	1	759	527	779	5.30E-135	485.3
k87_977262_1	PGPT0009155_741	92.7	465	34	0	4	1398	8	472	2.60E-236	822.8
k87_978437_1	PGPT0014310_1792	92.2	344	27	0	1	1032	109	452	1.50E-185	653.7
k87_978454_1	PGPT0006550_113	92	324	26	0	10	981	4	327	1.50E-179	633.6
k87_978808_1	PGPT0017515_71	94.6	37	2	0	1	111	246	282	4.20E-13	77.8
k87_978815_1	PGPT0029250_1335	98.1	211	4	0	1	633	1	211	2.80E-105	386.3
k87_979116_2	PGPT0026300_555	92.3	39	3	0	52	168	12	50	1.10E-11	73.6
k87_980294_1	PGPT0003880_4573	92.3	52	4	0	13	168	4	55	1.10E-19	100.1
k87_980705_2	PGPT0007290_430	92	150	12	0	58	507	58	207	9.20E-78	294.7
k87_980838_1	PGPT0008125_6262	98.3	238	4	0	1	714	1	238	2.20E-135	486.5
k87_980838_2	PGPT0028991_988	97.8	224	5	0	1	672	183	406	1.20E-114	417.5
k87_981135_1	PGPT0004445_11939	95.7	141	6	0	1	423	174	314	6.30E-69	265
k87_981135_2	PGPT0004450_14022	97.4	272	7	0	1	816	1	272	3.50E-145	519.2
k87_981506_1	PGPT0026850_744	92.6	516	38	0	1	1548	1	516	2.20E-265	919.5
k87_981506_2	PGPT0026845_1340	90.1	372	37	0	1	1116	290	661	1.90E-181	640.2
k87_981589_1	PGPT0030635_2700	98.3	347	6	0	1	1041	1	347	2.40E-191	672.9
k87_982342_5	PGPT0000645_5942	91.9	234	19	0	10	711	2	235	1.00E-124	451.1
k87_983111_1	PGPT0018835_23	90	341	33	1	1	1023	213	552	3.30E-185	652.5
k87_983264_1	PGPT0013170_17617	92.3	207	15	1	55	672	1	207	8.00E-111	404.8
k87_983470_5	PGPT0007990_1024	96.8	400	13	0	1	1200	24	423	1.20E-226	790.4
k87_983560_1	PGPT0021215_3882	99.7	361	1	0	1	1083	152	512	9.30E-210	734.2
k87_983835_3	PGPT0007825_792	91.8	208	17	0	1	624	173	380	9.70E-111	404.4
k87_984994_1	PGPT0014585_1867	90.1	385	36	1	1	1149	342	726	1.10E-173	614.4
k87_985092_1	PGPT0025740_2409	98	99	2	0	1	297	298	396	3.10E-46	189.1
k87_985590_1	PGPT0014585_646	92.5	67	5	0	1	201	1	67	5.80E-25	117.9
k87_985854_5	PGPT0023875_4683	91.2	160	14	0	79	558	8	167	1.70E-82	310.5
k87_986673_1	PGPT0004905_1341	93.5	92	6	0	1	276	1	92	2.80E-41	172.6
k87_987037_2	PGPT0008862_2292	91.5	319	27	0	4	960	7	325	1.10E-169	600.9
k87_987112_2	PGPT0020580_23	91.3	263	23	0	1	789	68	330	2.50E-133	479.9
k87_987155_2	PGPT0004105_1689	98.8	85	1	0	1	255	136	220	2.60E-41	172.6
k87_987985_3	PGPT0018095_568	93.7	205	11	1	1	615	282	484	1.50E-111	407.1
k87_988552_1	PGPT0008385_2592	94.5	55	3	0	1	165	343	397	2.20E-23	112.5
k87_988552_4	PGPT0013645_1955	90.5	116	11	0	1	348	324	439	2.40E-50	203
k87_989388_2	PGPT0008890_453	95	139	7	0	1	417	1	139	7.70E-67	258.1
k87_989516_1	PGPT0002520_487	92.2	103	8	0	1	309	175	277	4.50E-48	195.3
k87_989516_2	PGPT0002525_1802	97.7	299	7	0	4	900	1	299	1.60E-159	567
k87_990083_2	PGPT0008320_4899	91.1	371	33	0	1	1113	30	400	1.40E-197	693.7
k87_990377_1	PGPT0008320_3356	96.2	160	6	0	1	480	245	404	1.90E-82	310.1
k87_991127_1	PGPT0026785_1554	96.7	60	2	0	1	180	125	184	3.70E-26	121.7
k87_992399_3	PGPT0002265_1135	95.9	242	10	0	1	726	426	667	4.40E-131	472.2
k87_992845_5	PGPT0009812_633	90.9	66	6	0	1	198	1	66	2.70E-29	132.5
k87_993072_1	PGPT0000450_1631	90.8	359	33	0	1	1077	325	683	1.50E-188	663.7
k87_993739_1	PGPT0021745_308	91.2	339	29	1	1	1014	134	472	2.90E-173	612.8
k87_993786_1	PGPT0003685_1292	100	61	0	0	1	183	204	264	4.30E-24	115.5
k87_993786_2	PGPT0004605_1828	98	355	7	0	1	1065	39	393	5.20E-197	691.8
k87_993960_1	PGPT0015740_2041	94.3	280	16	0	1	840	1	280	1.10E-149	534.3
k87_994079_2	PGPT0001875_3710	91.2	273	24	0	1	819	292	564	5.10E-144	515.4
k87_994814_1	PGPT0017730_992	97.9	332	7	0	1	996	1	332	4.70E-184	648.7
k87_995419_1	PGPT0015900_1268	93.1	408	28	0	1	1224	1	408	5.00E-212	741.9
k87_995613_2	PGPT0002830_4	92.5	80	6	0	1	240	38	117	2.10E-37	159.5
k87_995924_1	PGPT0014047_202	98.5	134	2	0	1	402	1	134	2.00E-72	276.6
k87_995924_2	PGPT0014046_331	97.8	231	5	0	1	693	163	393	7.20E-131	471.5
k87_996768_2	PGPT0002295_1349	93.3	45	3	0	1	135	460	504	1.20E-19	99.8
k87_997220_1	PGPT0020070_3110	97.3	75	2	0	1	225	282	356	4.40E-37	158.3
k87_997220_2	PGPT0030468_5750	98.6	787	11	0	1	2361	1	787	0.00E+00	1485.7
k87_997220_3	PGPT0024475_705	100	210	0	0	1	630	1	210	6.60E-115	418.3
k87_997220_8	PGPT0004985_2322	99.2	128	1	0	1	384	1	128	2.00E-66	256.5
k87_998852_2	PGPT0002620_1762	90.7	108	10	0	1	324	231	338	7.50E-46	188
k87_999027_1	PGPT0006786_1815	90	40	4	0	1	120	67	106	3.10E-13	78.2
k87_999029_3	PGPT0021815_689	93.8	275	15	1	1	825	1	273	3.20E-146	522.7
k87_999621_1	PGPT0021345_2823	91.2	307	27	0	1	921	1	307	3.00E-161	572.8
k87_999621_2	PGPT0021340_4447	100	31	0	0	1	93	709	739	1.50E-10	68.9
k87_1000063_1	PGPT0026840_2081	96.3	82	3	0	1	246	1	82	1.80E-28	129.8
k87_1000063_5	PGPT0026805_1141	95.6	412	18	0	7	1242	4	415	5.80E-240	834.7
k87_1000063_7	PGPT0026785_2023	97.7	174	4	0	1	522	1	174	1.70E-95	353.6
k87_1000063_8	PGPT0026780_1052	91.5	130	8	1	1	390	1	127	4.60E-58	228.8
k87_1000873_1	PGPT0021215_1461	95.5	67	3	0	1	201	1	67	1.10E-28	130.2
k87_1001105_3	PGPT0025590_479	90.9	252	23	0	1	756	11	262	1.30E-141	507.3
k87_1001256_1	PGPT0004550_622	95.4	152	7	0	1	456	187	338	2.00E-68	263.5
k87_1001256_2	PGPT0021715_201	97.7	303	7	0	1	909	229	531	1.30E-175	620.5
k87_1001274_2	PGPT0001390_929	96.3	54	2	0	1	162	1	54	4.10E-21	104.8
k87_1001977_1	PGPT0000215_715	96.5	113	4	0	37	375	8	120	3.20E-61	239.2
k87_1002127_1	PGPT0016600_103	90.9	77	7	0	43	273	73	149	2.70E-33	146
k87_1002161_1	PGPT0021815_1406	92.6	336	25	0	1	1008	52	387	6.90E-175	618.2
k87_1002510_1	PGPT0014310_42	97	461	14	0	1	1383	392	852	1.90E-260	902.9
