Subject,Factor,Type,Pfams
PGPT0000860,allR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM,PF09339;PF01614
PGPT0000865,allA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_BENZOATE|DERIVATE_DEGRADATION;XENOBIOTIC_GALLATE_DEGRADATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_AROMATIC|PHENOLIC_COMPOUND_UTILIZATION;PLANT_DERIVED_GALLATE|TANNINE_DEGRADATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-ADAPTION_TO_PLANT_IMMUNE_SYSTEM;ADAPTION_TO_PIS-GALLATE|TANNINE_DEGRADATION;ADAPTION_TO_PIS-GALLATE_DEGRADATION_PATHWAY#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-RESISTANCE_TO_ANTIMICROBIAL|TOXIC_COMPOUNDS;CE-BACTERIAL_FITNESS-GALLATE_RESISTANCE,PF07746;PF02900
PGPT0000870,allB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_DEGRADATION,PF01979;PF07969
PGPT0000875,allC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_METABOLISM,PF01546;PF04389
PGPT0000880,alc,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_DEGRADATION,PF03561
PGPT0000885,hpxB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_DEGRADATION,PF01522
PGPT0000890,allP,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_TRANSPORT,PF02133
PGPT0000895,hpxA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ALLANTOIN_USAGE;N-AQUISITION-ALLANTOIN_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_METABOLISM,PF01177
PGPT0000900,tgnR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-TRIGONELLINE_USAGE;N-AQUISITION-TRIGONELLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_TRIGONELLINE_USAGE;PLANT_DERIVED_TRIGONELLINE_DEGRADATION,PF07729;PF00392
PGPT0000905,tgnA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-TRIGONELLINE_USAGE;N-AQUISITION-TRIGONELLINE_METABOLISM#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_VITAMIN_PRODUCTION;PLANT_VITAMIN_B2|RIBOFLAVIN_METABOLISM;PLANT_VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-VITAMIN_B2|RIBOFLAVIN_METABOLISM#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;INDUCTION_OF_SYSTEMIC_RESISTANCE|ISR;ISR-VITAMIN_B2|RIBOFLAVIN_METABOLISM;ISR-VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_TRIGONELLINE_USAGE;PLANT_DERIVED_TRIGONELLINE_DEGRADATION,PF02515;PF01613
PGPT0000910,tgnB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-TRIGONELLINE_USAGE;N-AQUISITION-TRIGONELLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_TRIGONELLINE_USAGE;PLANT_DERIVED_TRIGONELLINE_DEGRADATION,PF00296
PGPT0000915,tgnC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-TRIGONELLINE_USAGE;N-AQUISITION-TRIGONELLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_TRIGONELLINE_USAGE;PLANT_DERIVED_TRIGONELLINE_DEGRADATION,PF00171
PGPT0000920,tgnD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-TRIGONELLINE_USAGE;N-AQUISITION-TRIGONELLINE_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_TRIGONELLINE_USAGE;PLANT_DERIVED_TRIGONELLINE_DEGRADATION,PF02515;PF01613
PGPT0000925,urtA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT,PF00211;PF00989;PF08447;PF08448;PF13188;PF13426;PF13433;PF13458
PGPT0000930,urtB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF02653;PF13646
PGPT0000935,urtC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT,PF00005;PF12399;PF02653
PGPT0000940,urtD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT,PF13476;PF00005;PF12399;PF02463;PF05099
PGPT0000945,urtE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT,PF13304;PF00005
PGPT0000950,utp,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_TRANSPORT,PF03253
PGPT0000955,ureA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_METABOLISM,PF00547
PGPT0000960,ureB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_METABOLISM,PF00699
PGPT0000965,ureC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_NUCLEOSIDE_METABOLISM;PLANT_DERIVED_PURINE_METABOLISM,PF01979;PF07969;PF00449;PF00699
PGPT0000970,ureD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF01774;PF01730
PGPT0000975,ureE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,
PGPT0000980,ureF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF14299;PF01730
PGPT0000985,ureG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF02492;PF03690
PGPT0000990,ureI,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF02293
PGPT0000995,ureJ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF04955
PGPT0001000,ycgI,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF09347;PF13379
PGPT0001005,uca|dur|urd,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM,PF02785;PF00289;PF00364;PF01039;PF02786
PGPT0001010,atzF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-UREA_USAGE;N-AQUISITION-UREA_METABOLISM#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_ATRAZINE|DERIVATE_DEGRADATION;XENOBIOTIC_CYANURIC_ACID_DEGRADATION,PF01425;PF00528
PGPT0001015,glnR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;GLN-NITROGEN_REGULATORY_SYSTEM,PF00376;PF13411
PGPT0001020,ntrX,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NTR-NITROGEN_REGULATORY_SYSTEM,PF00158;PF14532
PGPT0001025,ntrY,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NTR-NITROGEN_REGULATORY_SYSTEM,PF00672;PF02518;PF00512
PGPT0001030,acoR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_SIGNALLING_VOLATILES;PLANT_SIGNAL-ACETOIN|2|3-BUTANEDIOL_VOLATILE_METABOLISM;PLANT_SIGNAL-ACETOIN|2|3-BUTANEDIOL_VOLATILE_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_BIOTIC_STRESS;BIOTIC_STRESS_RESISTANCE-VOLATILES;BIOTIC_STRESS_RESISTANCE-ACETOIN|2|3-BUTANEDIOL_VOLATILE_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;INDUCTION_OF_SYSTEMIC_RESISTANCE|ISR;ISR-VOLATILES;ISR-ACETOIN|2|3-BUTANEDIOL_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-RESISTANCE_TO_ANTIMICROBIAL|TOXIC_COMPOUNDS;CE-BACTERIAL_FITNESS-ANTIMICROBIAL_COMPUND_RESSITANCE-ACETOIN|2|3-BUTANEDIOL_SYNTHESIS,PF01207;PF02518;PF00512;PF02954;PF00072;PF00158;PF14532
PGPT0001035,fixA|etfB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF01012;PF05753
PGPT0001040,fixB|etfA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF01012;PF00766
PGPT0001045,fixC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NITROSATIVE|OXIDATIVE_STRESS|ROS_SCAVENGING;OXIDATIVE_STRESS-OXIDOREDUCTASES,PF01266;PF01494
PGPT0001050,fixX,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF13237;PF12797;PF12838;PF13187
PGPT0001055,fixN|ccoN,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;CBB3-TYPE_CYTOCHROME_C_OXIDASE#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-ENERGY_METABOLISM;CE-BACTERIAL_FITNESS-AEROBIC_RESPIRATION|OXIDATIVE_PHOSPHORYLATION,PF00115
PGPT0001060,draT,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF07357
PGPT0001065,draG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF03747;PF13857
PGPT0001070,nnrS,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NITROSATIVE|OXIDATIVE_STRESS|ROS_SCAVENGING;NITRIC_OXIDE_REDUCTION,PF04932
PGPT0001075,dnr,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF00027
PGPT0001080,ntcA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF00027;PF13545
PGPT0001085,tnrA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF00376;PF13411
PGPT0001100,fdnG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION,PF00384;PF04879;PF01568
PGPT0001105,fdnH,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION,PF00037;PF13237;PF13247;PF13534;PF14697;PF12837;PF12838;PF13187;PF09163
PGPT0001110,fdnI,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION,PF01292
PGPT0001115,frdA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF01266;PF00890;PF12831;PF04205;PF01134;PF03486;PF13450;PF00724;PF07992;PF13738
PGPT0001120,frdB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF13085;PF00037;PF13237;PF13484;PF13534;PF12838;PF13183;PF13187;PF02300
PGPT0001125,frdC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF13085;PF00037;PF13237;PF13484;PF13534;PF12838;PF13183;PF13187;PF02300
PGPT0001130,frdD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;FUMARATE_BASED_NITROGENASE_REGULATION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF02313
PGPT0001135,ABC_SN_S,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-RELATED_FUNCTIONS;N-AQUISITION-NitT|TauT_FAMILY_TRANSPORTER,PF00126;PF03466
PGPT0001140,ABC_SN_A|ytlC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-RELATED_FUNCTIONS;N-AQUISITION-NitT|TauT_FAMILY_TRANSPORTER,PF13304;PF00005;PF01497
PGPT0001145,ABC_SN_P,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-RELATED_FUNCTIONS;N-AQUISITION-NitT|TauT_FAMILY_TRANSPORTER,PF00528
PGPT0001150,rbcL|cbbL,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-RuBisCo;CO2_FIXATION-RuBisCo_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-GLYCOLIC_ACID_BIOSYNTHESIS,PF13669;PF00016;PF02788
PGPT0001155,rbcS|cbbS,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-RuBisCo;CO2_FIXATION-RuBisCo_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-GLYCOLIC_ACID_BIOSYNTHESIS,PF00101
PGPT0001160,cbbR|cmpR|ndhR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-RuBisCo;CO2_FIXATION-RuBisCo_BIOSYNTHESIS_REGULATION,PF05960;PF00126;PF03466
PGPT0001165,ppc,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-ALTERNATIVE_PAHTWAYS;CO2_FIXATION-PHOSPHOENOLPYRUVATE_CARBOXYLASE_BIOSYNTHESIS,PF00311
PGPT0001170,icd,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;CARBON_DIOXID_FIXATION;CO2_FIXATION-ALTERNATIVE_PAHTWAYS;CO2_FIXATION-REDUCTIVE_CITRIC_ACID_CYCLE#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-KETOGLUTARIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-ORGANIC_ACID_METABOLISM;P-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-KETOGLUTARIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILIZATION-ORGANIC_ACID_METABOLISM;K-SOLUBILISATION-SUCCINIC_ACID_ACID_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_CITRATE_SENSING|UTILIZATION#PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;COLONIZATION-PLANT_DERIVED_SUBSTRATE_USAGE;PLANT_DERIVED_ORGANIC_ACID_UTILIZATION;PLANT_DERIVED_ORGANIC_ACID_USAGE-TRICARBOXYLIC_ACID_CYCLE,PF13419;PF00702;PF00180
